metric,model_id,model,n,correct,accuracy_pct,ci_low_pct,ci_high_pct,ci_width_pct_points,bootstrap_degenerate,n_invalid_extraction,bootstrap_unit,bootstrap_method,confidence_level,bootstrap_reps,base_seed
HDA-Subject,glm-5v-turbo,GLM-5V-Turbo,208,56,26.923076923076923,21.153846153846153,33.17307692307692,12.019230769230768,False,0,QA item,percentile,0.95,20000,20260724
HDA-Subject,video-llava-7b,Video-LLaVA-7B,208,54,25.961538461538463,20.192307692307693,32.21153846153847,12.01923076923077,False,0,QA item,percentile,0.95,20000,20260724
HDA-Subject,qwen3-vl-8b,Qwen3-VL-8B,208,44,21.153846153846153,15.865384615384615,26.923076923076923,11.057692307692307,False,0,QA item,percentile,0.95,20000,20260724
HDA-Subject,internvl3-8b,InternVL3-8B,208,43,20.673076923076923,15.384615384615385,26.442307692307693,11.057692307692307,False,0,QA item,percentile,0.95,20000,20260724
HDA-Subject,llava-video-72b,LLaVA-Video-72B,208,39,18.75,13.461538461538462,24.03846153846154,10.576923076923078,False,0,QA item,percentile,0.95,20000,20260724
HDA-Subject,gpt-5.4-mini,GPT-5.4-mini,208,38,18.269230769230766,12.980769230769232,23.557692307692307,10.576923076923075,False,0,QA item,percentile,0.95,20000,20260724
HDA-Subject,videollama3-7b,VideoLLaMA3-7B,208,37,17.78846153846154,12.980769230769232,23.076923076923077,10.096153846153847,False,0,QA item,percentile,0.95,20000,20260724
HDA-Subject,llava-video-7b,LLaVA-Video-7B,208,33,15.865384615384615,11.057692307692307,21.153846153846153,10.096153846153847,False,0,QA item,percentile,0.95,20000,20260724
HDA-Subject,video-chatgpt-7b,Video-ChatGPT-7B,208,33,15.865384615384615,11.057692307692307,21.153846153846153,10.096153846153847,False,22,QA item,percentile,0.95,20000,20260724
HDA-Subject,minicpm-v-2.6,MiniCPM-V-2.6,208,31,14.903846153846153,10.096153846153847,19.71153846153846,9.615384615384615,False,0,QA item,percentile,0.95,20000,20260724
HDA-Event,gpt-5.5,GPT-5.5,285,145,50.877192982456144,44.91228070175438,56.84210526315789,11.929824561403507,False,0,QA item,percentile,0.95,20000,20260724
HDA-Event,grok-4.3,Grok-4.3,285,141,49.473684210526315,43.50877192982456,55.43859649122807,11.929824561403501,False,0,QA item,percentile,0.95,20000,20260724
HDA-Event,kimi-k2.6,Kimi-K2.6,285,135,47.368421052631575,41.75438596491228,53.333333333333336,11.57894736842105,False,3,QA item,percentile,0.95,20000,20260724
HDA-Event,seed-2.0-lite,Seed-2.0-Lite,285,135,47.368421052631575,41.40350877192983,52.98245614035088,11.57894736842105,False,0,QA item,percentile,0.95,20000,20260724
HDA-Event,gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,285,131,45.96491228070175,40.0,51.578947368421055,11.578947368421055,False,2,QA item,percentile,0.95,20000,20260724
HDA-Event,qwen2.5-vl-72b,Qwen2.5-VL-72B,285,125,43.859649122807014,38.24561403508772,49.473684210526315,11.228070175438592,False,1,QA item,percentile,0.95,20000,20260724
HDA-Event,glm-5v-turbo,GLM-5V-Turbo,285,115,40.35087719298245,34.73684210526316,45.96491228070175,11.228070175438592,False,0,QA item,percentile,0.95,20000,20260724
HDA-Event,qwen3-vl-8b-thinking,Qwen3-VL-8B-Thinking,285,115,40.35087719298245,34.73684210526316,45.96491228070175,11.228070175438592,False,1,QA item,percentile,0.95,20000,20260724
HDA-Event,gemini-3.1-flash-lite-preview,Gemini-3.1-Flash-Lite-Preview,285,114,40.0,34.385964912280706,45.614035087719294,11.228070175438592,False,1,QA item,percentile,0.95,20000,20260724
HDA-Event,qwen2.5-vl-7b,Qwen2.5-VL-7B,285,104,36.49122807017544,31.2280701754386,42.10526315789473,10.877192982456135,False,0,QA item,percentile,0.95,20000,20260724
HDA-Event,gpt-5.4-mini,GPT-5.4-mini,285,102,35.78947368421053,30.175438596491226,41.40350877192983,11.228070175438598,False,0,QA item,percentile,0.95,20000,20260724
HDA-Event,video-r1-7b,Video-R1-7B,285,102,35.78947368421053,30.175438596491226,41.40350877192983,11.228070175438598,False,0,QA item,percentile,0.95,20000,20260724
HDA-Event,videochat-r1.5-7b,VideoChat-R1.5-7B,285,99,34.73684210526316,29.122807017543863,40.35087719298245,11.228070175438592,False,0,QA item,percentile,0.95,20000,20260724
HDA-Event,internvl3-8b,InternVL3-8B,285,94,32.98245614035088,27.719298245614034,38.59649122807017,10.87719298245614,False,0,QA item,percentile,0.95,20000,20260724
HDA-Event,mimo-v2-omni,Mimo-V2-Omni,285,88,30.87719298245614,25.6140350877193,36.140350877192986,10.526315789473683,False,32,QA item,percentile,0.95,20000,20260724
HDA-Event,videollama3-7b,VideoLLaMA3-7B,285,85,29.82456140350877,24.561403508771928,35.08771929824561,10.526315789473683,False,0,QA item,percentile,0.95,20000,20260724
HDA-Event,llava-video-72b,LLaVA-Video-72B,285,82,28.771929824561404,23.50877192982456,34.03508771929825,10.526315789473683,False,0,QA item,percentile,0.95,20000,20260724
HDA-Event,qwen3-vl-8b,Qwen3-VL-8B,285,81,28.421052631578945,23.157894736842106,33.68421052631579,10.526315789473683,False,0,QA item,percentile,0.95,20000,20260724
HDA-Event,minicpm-v-2.6,MiniCPM-V-2.6,285,79,27.719298245614034,22.807017543859647,32.98245614035088,10.175438596491231,False,0,QA item,percentile,0.95,20000,20260724
HDA-Event,llava-video-7b,LLaVA-Video-7B,285,74,25.964912280701753,21.052631578947366,31.2280701754386,10.175438596491231,False,0,QA item,percentile,0.95,20000,20260724
HDA-Event,video-llava-7b,Video-LLaVA-7B,285,72,25.263157894736842,20.350877192982455,30.526315789473685,10.17543859649123,False,0,QA item,percentile,0.95,20000,20260724
HDA-Event,llava-ov-7b-1frame,LLaVA-OV-7B-1Frame,285,68,23.859649122807017,18.947368421052634,28.771929824561404,9.824561403508772,False,0,QA item,percentile,0.95,20000,20260724
HDA-Event,video-chatgpt-7b,Video-ChatGPT-7B,285,28,9.824561403508772,6.666666666666667,13.333333333333334,6.666666666666667,False,187,QA item,percentile,0.95,20000,20260724
