format,format_display,model_id,model,n,correct,accuracy_pct,ci_low_pct,ci_high_pct,ci_width_pct_points,bootstrap_degenerate,n_invalid_extraction,bootstrap_unit,bootstrap_method,confidence_level,bootstrap_reps,base_seed
mcq_4,MCQ,llava-ov-7b-1frame,LLaVA-OV-7B-1Frame,1355,292,21.54981549815498,19.40959409594096,23.763837638376383,4.354243542435424,False,0,QA item,percentile,0.95,20000,20260724
mcq_4,MCQ,video-chatgpt-7b,Video-ChatGPT-7B,1355,249,18.37638376383764,16.309963099631,20.44280442804428,4.132841328413283,False,491,QA item,percentile,0.95,20000,20260724
sp,SP,gpt-5.5,GPT-5.5,563,395,70.15985790408526,66.25222024866785,73.8898756660746,7.637655417406752,False,0,QA item,percentile,0.95,20000,20260724
sp,SP,kimi-k2.6,Kimi-K2.6,563,356,63.232682060390765,59.32504440497336,67.14031971580818,7.815275310834813,False,4,QA item,percentile,0.95,20000,20260724
sp,SP,gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,563,340,60.39076376554174,56.305506216696266,64.29840142095915,7.992895204262885,False,0,QA item,percentile,0.95,20000,20260724
sp,SP,grok-4.3,Grok-4.3,563,338,60.03552397868561,55.95026642984015,64.12078152753108,8.170515097690934,False,0,QA item,percentile,0.95,20000,20260724
sp,SP,glm-5v-turbo,GLM-5V-Turbo,563,324,57.548845470692726,53.46358792184724,61.63410301953819,8.170515097690945,False,0,QA item,percentile,0.95,20000,20260724
sp,SP,seed-2.0-lite,Seed-2.0-Lite,563,313,55.59502664298401,51.50976909413855,59.68028419182948,8.170515097690934,False,2,QA item,percentile,0.95,20000,20260724
sp,SP,mimo-v2-omni,Mimo-V2-Omni,563,286,50.799289520426285,46.714031971580816,54.88454706927176,8.170515097690945,False,48,QA item,percentile,0.95,20000,20260724
sp,SP,qwen2.5-vl-72b,Qwen2.5-VL-72B,563,286,50.799289520426285,46.714031971580816,54.88454706927176,8.170515097690945,False,5,QA item,percentile,0.95,20000,20260724
sp,SP,video-llava-7b,Video-LLaVA-7B,563,282,50.08880994671403,46.00355239786856,54.174067495559505,8.170515097690945,False,0,QA item,percentile,0.95,20000,20260724
sp,SP,gpt-5.4-mini,GPT-5.4-mini,563,273,48.49023090586146,44.40497335701599,52.753108348134994,8.348134991119005,False,0,QA item,percentile,0.95,20000,20260724
sp,SP,videochat-r1.5-7b,VideoChat-R1.5-7B,563,273,48.49023090586146,44.40497335701599,52.57548845470693,8.170515097690945,False,0,QA item,percentile,0.95,20000,20260724
sp,SP,gemini-3.1-flash-lite-preview,Gemini-3.1-Flash-Lite-Preview,563,272,48.31261101243339,44.22735346358792,52.39786856127886,8.17051509769094,False,0,QA item,percentile,0.95,20000,20260724
sp,SP,llava-video-72b,LLaVA-Video-72B,563,262,46.53641207815276,42.45115452930728,50.62166962699822,8.17051509769094,False,0,QA item,percentile,0.95,20000,20260724
sp,SP,minicpm-v-2.6,MiniCPM-V-2.6,563,258,45.825932504440495,41.740674955595026,49.91119005328597,8.170515097690945,False,0,QA item,percentile,0.95,20000,20260724
sp,SP,internvl3-8b,InternVL3-8B,563,252,44.760213143872114,40.67495559502664,48.84547069271758,8.170515097690945,False,0,QA item,percentile,0.95,20000,20260724
sp,SP,qwen2.5-vl-7b,Qwen2.5-VL-7B,563,244,43.3392539964476,39.25399644760213,47.42451154529307,8.170515097690945,False,0,QA item,percentile,0.95,20000,20260724
sp,SP,qwen3-vl-8b-thinking,Qwen3-VL-8B-Thinking,563,243,43.16163410301954,39.07637655417407,47.246891651865006,8.17051509769094,False,0,QA item,percentile,0.95,20000,20260724
sp,SP,qwen3-vl-8b,Qwen3-VL-8B,563,240,42.62877442273535,38.54351687388988,46.714031971580816,8.17051509769094,False,0,QA item,percentile,0.95,20000,20260724
sp,SP,video-r1-7b,Video-R1-7B,563,229,40.67495559502664,36.58969804618118,44.760213143872114,8.17051509769094,False,0,QA item,percentile,0.95,20000,20260724
sp,SP,llava-video-7b,LLaVA-Video-7B,563,227,40.319715808170514,36.234458259325045,44.40497335701599,8.170515097690945,False,0,QA item,percentile,0.95,20000,20260724
sp,SP,videollama3-7b,VideoLLaMA3-7B,563,224,39.786856127886324,35.879218472468914,43.87211367673179,7.9928952042628785,False,0,QA item,percentile,0.95,20000,20260724
sp,SP,llava-ov-7b-1frame,LLaVA-OV-7B-1Frame,563,204,36.234458259325045,32.326820603907635,40.319715808170514,7.9928952042628785,False,0,QA item,percentile,0.95,20000,20260724
sp,SP,video-chatgpt-7b,Video-ChatGPT-7B,563,139,24.68916518650089,21.136767317939608,28.24156305506217,7.10479573712256,False,313,QA item,percentile,0.95,20000,20260724
numerical,Numerical,videollama3-7b,VideoLLaMA3-7B,300,101,33.666666666666664,28.333333333333332,39.0,10.666666666666668,False,4,QA item,percentile,0.95,20000,20260724
numerical,Numerical,video-chatgpt-7b,Video-ChatGPT-7B,300,92,30.666666666666664,25.333333333333336,36.0,10.666666666666663,False,0,QA item,percentile,0.95,20000,20260724
numerical,Numerical,llava-ov-7b-1frame,LLaVA-OV-7B-1Frame,300,85,28.333333333333332,23.333333333333332,33.666666666666664,10.333333333333334,False,52,QA item,percentile,0.95,20000,20260724
numerical,Numerical,llava-video-7b,LLaVA-Video-7B,300,79,26.333333333333332,21.333333333333336,31.333333333333336,10.0,False,114,QA item,percentile,0.95,20000,20260724
numerical,Numerical,seed-2.0-lite,Seed-2.0-Lite,300,73,24.333333333333336,19.666666666666664,29.333333333333332,9.666666666666668,False,93,QA item,percentile,0.95,20000,20260724
numerical,Numerical,gpt-5.4-mini,GPT-5.4-mini,300,64,21.333333333333336,16.666666666666664,26.0,9.333333333333336,False,81,QA item,percentile,0.95,20000,20260724
numerical,Numerical,grok-4.3,Grok-4.3,300,59,19.666666666666664,15.333333333333332,24.333333333333336,9.000000000000002,False,135,QA item,percentile,0.95,20000,20260724
numerical,Numerical,kimi-k2.6,Kimi-K2.6,300,58,19.333333333333332,15.0,24.0,9.0,False,160,QA item,percentile,0.95,20000,20260724
numerical,Numerical,gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,300,56,18.666666666666668,14.333333333333334,23.0,8.666666666666668,False,145,QA item,percentile,0.95,20000,20260724
numerical,Numerical,internvl3-8b,InternVL3-8B,300,56,18.666666666666668,14.333333333333334,23.333333333333332,9.0,False,160,QA item,percentile,0.95,20000,20260724
numerical,Numerical,minicpm-v-2.6,MiniCPM-V-2.6,300,56,18.666666666666668,14.333333333333334,23.333333333333332,9.0,False,146,QA item,percentile,0.95,20000,20260724
numerical,Numerical,gpt-5.5,GPT-5.5,300,55,18.333333333333332,14.000000000000002,22.666666666666664,8.666666666666664,False,163,QA item,percentile,0.95,20000,20260724
numerical,Numerical,llava-video-72b,LLaVA-Video-72B,300,45,15.0,11.0,19.333333333333332,8.333333333333332,False,181,QA item,percentile,0.95,20000,20260724
numerical,Numerical,qwen3-vl-8b-thinking,Qwen3-VL-8B-Thinking,300,42,14.000000000000002,10.333333333333334,18.0,7.666666666666666,False,187,QA item,percentile,0.95,20000,20260724
numerical,Numerical,glm-5v-turbo,GLM-5V-Turbo,300,41,13.666666666666666,10.0,17.666666666666668,7.666666666666666,False,179,QA item,percentile,0.95,20000,20260724
numerical,Numerical,qwen3-vl-8b,Qwen3-VL-8B,300,37,12.333333333333334,8.666666666666668,16.333333333333332,7.666666666666666,False,124,QA item,percentile,0.95,20000,20260724
numerical,Numerical,videochat-r1.5-7b,VideoChat-R1.5-7B,300,21,7.000000000000001,4.333333333333334,10.0,5.666666666666667,False,213,QA item,percentile,0.95,20000,20260724
numerical,Numerical,gemini-3.1-flash-lite-preview,Gemini-3.1-Flash-Lite-Preview,300,18,6.0,3.3333333333333335,9.0,5.666666666666666,False,165,QA item,percentile,0.95,20000,20260724
numerical,Numerical,mimo-v2-omni,Mimo-V2-Omni,300,14,4.666666666666667,2.3333333333333335,7.333333333333333,5.0,False,260,QA item,percentile,0.95,20000,20260724
numerical,Numerical,video-llava-7b,Video-LLaVA-7B,300,14,4.666666666666667,2.3333333333333335,7.333333333333333,5.0,False,275,QA item,percentile,0.95,20000,20260724
numerical,Numerical,qwen2.5-vl-72b,Qwen2.5-VL-72B,300,9,3.0,1.3333333333333335,5.0,3.6666666666666665,False,219,QA item,percentile,0.95,20000,20260724
numerical,Numerical,qwen2.5-vl-7b,Qwen2.5-VL-7B,300,2,0.6666666666666667,0.0,1.6666666666666667,1.6666666666666667,False,291,QA item,percentile,0.95,20000,20260724
numerical,Numerical,video-r1-7b,Video-R1-7B,300,0,0.0,0.0,0.0,0.0,True,297,QA item,percentile,0.95,20000,20260724
ordering_3,Ord-3,qwen2.5-vl-7b,Qwen2.5-VL-7B,52,13,25.0,13.461538461538462,36.53846153846153,23.076923076923077,False,0,QA item,percentile,0.95,20000,20260724
ordering_3,Ord-3,videollama3-7b,VideoLLaMA3-7B,52,13,25.0,13.461538461538462,36.53846153846153,23.076923076923077,False,0,QA item,percentile,0.95,20000,20260724
ordering_3,Ord-3,kimi-k2.6,Kimi-K2.6,52,12,23.076923076923077,11.538461538461538,34.61538461538461,23.076923076923077,False,2,QA item,percentile,0.95,20000,20260724
ordering_3,Ord-3,seed-2.0-lite,Seed-2.0-Lite,52,12,23.076923076923077,11.538461538461538,34.61538461538461,23.076923076923077,False,4,QA item,percentile,0.95,20000,20260724
ordering_3,Ord-3,video-r1-7b,Video-R1-7B,52,12,23.076923076923077,11.538461538461538,34.61538461538461,23.076923076923077,False,2,QA item,percentile,0.95,20000,20260724
ordering_3,Ord-3,gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,52,11,21.153846153846153,11.538461538461538,32.69230769230769,21.153846153846153,False,0,QA item,percentile,0.95,20000,20260724
ordering_3,Ord-3,llava-video-72b,LLaVA-Video-72B,52,11,21.153846153846153,11.538461538461538,32.69230769230769,21.153846153846153,False,0,QA item,percentile,0.95,20000,20260724
ordering_3,Ord-3,gemini-3.1-flash-lite-preview,Gemini-3.1-Flash-Lite-Preview,52,10,19.230769230769234,9.615384615384617,30.76923076923077,21.153846153846157,False,0,QA item,percentile,0.95,20000,20260724
ordering_3,Ord-3,glm-5v-turbo,GLM-5V-Turbo,52,10,19.230769230769234,9.615384615384617,30.76923076923077,21.153846153846157,False,4,QA item,percentile,0.95,20000,20260724
ordering_3,Ord-3,gpt-5.5,GPT-5.5,52,10,19.230769230769234,9.615384615384617,30.76923076923077,21.153846153846157,False,0,QA item,percentile,0.95,20000,20260724
ordering_3,Ord-3,grok-4.3,Grok-4.3,52,10,19.230769230769234,9.615384615384617,30.76923076923077,21.153846153846157,False,0,QA item,percentile,0.95,20000,20260724
ordering_3,Ord-3,qwen2.5-vl-72b,Qwen2.5-VL-72B,52,10,19.230769230769234,9.615384615384617,30.76923076923077,21.153846153846157,False,0,QA item,percentile,0.95,20000,20260724
ordering_3,Ord-3,videochat-r1.5-7b,VideoChat-R1.5-7B,52,10,19.230769230769234,9.615384615384617,30.76923076923077,21.153846153846157,False,0,QA item,percentile,0.95,20000,20260724
ordering_3,Ord-3,gpt-5.4-mini,GPT-5.4-mini,52,9,17.307692307692307,7.6923076923076925,28.846153846153843,21.15384615384615,False,0,QA item,percentile,0.95,20000,20260724
ordering_3,Ord-3,qwen3-vl-8b,Qwen3-VL-8B,52,8,15.384615384615385,5.769230769230769,25.0,19.23076923076923,False,0,QA item,percentile,0.95,20000,20260724
ordering_3,Ord-3,qwen3-vl-8b-thinking,Qwen3-VL-8B-Thinking,52,8,15.384615384615385,5.769230769230769,25.0,19.23076923076923,False,4,QA item,percentile,0.95,20000,20260724
ordering_3,Ord-3,mimo-v2-omni,Mimo-V2-Omni,52,7,13.461538461538462,5.769230769230769,23.076923076923077,17.307692307692307,False,9,QA item,percentile,0.95,20000,20260724
ordering_3,Ord-3,minicpm-v-2.6,MiniCPM-V-2.6,52,7,13.461538461538462,5.769230769230769,23.076923076923077,17.307692307692307,False,0,QA item,percentile,0.95,20000,20260724
ordering_3,Ord-3,video-chatgpt-7b,Video-ChatGPT-7B,52,7,13.461538461538462,5.769230769230769,23.076923076923077,17.307692307692307,False,0,QA item,percentile,0.95,20000,20260724
ordering_3,Ord-3,llava-ov-7b-1frame,LLaVA-OV-7B-1Frame,52,6,11.538461538461538,3.8461538461538463,21.153846153846153,17.307692307692307,False,7,QA item,percentile,0.95,20000,20260724
ordering_3,Ord-3,internvl3-8b,InternVL3-8B,52,5,9.615384615384617,1.9230769230769231,19.230769230769234,17.307692307692307,False,0,QA item,percentile,0.95,20000,20260724
ordering_3,Ord-3,llava-video-7b,LLaVA-Video-7B,52,5,9.615384615384617,1.9230769230769231,19.230769230769234,17.307692307692307,False,10,QA item,percentile,0.95,20000,20260724
ordering_3,Ord-3,video-llava-7b,Video-LLaVA-7B,52,3,5.769230769230769,0.0,13.461538461538462,13.461538461538462,False,30,QA item,percentile,0.95,20000,20260724
ordering_4,Ord-4,gpt-5.5,GPT-5.5,53,16,30.18867924528302,18.867924528301888,43.39622641509434,24.528301886792452,False,3,QA item,percentile,0.95,20000,20260724
ordering_4,Ord-4,kimi-k2.6,Kimi-K2.6,53,12,22.641509433962266,11.320754716981133,33.9622641509434,22.641509433962263,False,5,QA item,percentile,0.95,20000,20260724
ordering_4,Ord-4,seed-2.0-lite,Seed-2.0-Lite,53,11,20.754716981132077,9.433962264150944,32.075471698113205,22.641509433962263,False,2,QA item,percentile,0.95,20000,20260724
ordering_4,Ord-4,glm-5v-turbo,GLM-5V-Turbo,53,8,15.09433962264151,5.660377358490567,24.528301886792452,18.867924528301888,False,15,QA item,percentile,0.95,20000,20260724
ordering_4,Ord-4,grok-4.3,Grok-4.3,53,8,15.09433962264151,5.660377358490567,24.528301886792452,18.867924528301888,False,2,QA item,percentile,0.95,20000,20260724
ordering_4,Ord-4,gemini-3.1-flash-lite-preview,Gemini-3.1-Flash-Lite-Preview,53,7,13.20754716981132,5.660377358490567,22.641509433962266,16.9811320754717,False,0,QA item,percentile,0.95,20000,20260724
ordering_4,Ord-4,gemini-3.1-pro-preview,Gemini-3.1-Pro-Preview,53,7,13.20754716981132,5.660377358490567,22.641509433962266,16.9811320754717,False,0,QA item,percentile,0.95,20000,20260724
ordering_4,Ord-4,qwen2.5-vl-72b,Qwen2.5-VL-72B,53,6,11.320754716981133,3.7735849056603774,20.754716981132077,16.9811320754717,False,0,QA item,percentile,0.95,20000,20260724
ordering_4,Ord-4,llava-video-7b,LLaVA-Video-7B,53,5,9.433962264150944,1.8867924528301887,18.867924528301888,16.9811320754717,False,17,QA item,percentile,0.95,20000,20260724
ordering_4,Ord-4,llava-ov-7b-1frame,LLaVA-OV-7B-1Frame,53,4,7.547169811320755,1.8867924528301887,15.09433962264151,13.20754716981132,False,21,QA item,percentile,0.95,20000,20260724
ordering_4,Ord-4,llava-video-72b,LLaVA-Video-72B,53,4,7.547169811320755,1.8867924528301887,15.09433962264151,13.20754716981132,False,0,QA item,percentile,0.95,20000,20260724
ordering_4,Ord-4,qwen3-vl-8b,Qwen3-VL-8B,53,4,7.547169811320755,1.8867924528301887,15.09433962264151,13.20754716981132,False,1,QA item,percentile,0.95,20000,20260724
ordering_4,Ord-4,videollama3-7b,VideoLLaMA3-7B,53,4,7.547169811320755,1.8867924528301887,15.09433962264151,13.20754716981132,False,6,QA item,percentile,0.95,20000,20260724
ordering_4,Ord-4,gpt-5.4-mini,GPT-5.4-mini,53,3,5.660377358490567,0.0,13.20754716981132,13.20754716981132,False,2,QA item,percentile,0.95,20000,20260724
ordering_4,Ord-4,minicpm-v-2.6,MiniCPM-V-2.6,53,3,5.660377358490567,0.0,13.20754716981132,13.20754716981132,False,0,QA item,percentile,0.95,20000,20260724
ordering_4,Ord-4,qwen3-vl-8b-thinking,Qwen3-VL-8B-Thinking,53,3,5.660377358490567,0.0,13.20754716981132,13.20754716981132,False,13,QA item,percentile,0.95,20000,20260724
ordering_4,Ord-4,video-r1-7b,Video-R1-7B,53,3,5.660377358490567,0.0,13.20754716981132,13.20754716981132,False,1,QA item,percentile,0.95,20000,20260724
ordering_4,Ord-4,qwen2.5-vl-7b,Qwen2.5-VL-7B,53,2,3.7735849056603774,0.0,9.433962264150944,9.433962264150944,False,0,QA item,percentile,0.95,20000,20260724
ordering_4,Ord-4,internvl3-8b,InternVL3-8B,53,1,1.8867924528301887,0.0,5.660377358490567,5.660377358490567,False,3,QA item,percentile,0.95,20000,20260724
ordering_4,Ord-4,mimo-v2-omni,Mimo-V2-Omni,53,1,1.8867924528301887,0.0,5.660377358490567,5.660377358490567,False,20,QA item,percentile,0.95,20000,20260724
ordering_4,Ord-4,video-chatgpt-7b,Video-ChatGPT-7B,53,1,1.8867924528301887,0.0,5.660377358490567,5.660377358490567,False,0,QA item,percentile,0.95,20000,20260724
ordering_4,Ord-4,video-llava-7b,Video-LLaVA-7B,53,1,1.8867924528301887,0.0,5.660377358490567,5.660377358490567,False,20,QA item,percentile,0.95,20000,20260724
ordering_4,Ord-4,videochat-r1.5-7b,VideoChat-R1.5-7B,53,0,0.0,0.0,0.0,0.0,True,2,QA item,percentile,0.95,20000,20260724
